 , ,Abdominal Belt,Thoracic belt,Pulse Train Stimulation,Stimulation Gate,Flow Stim Box,Paw Stim Box,Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Moment (X),Millar 1,Pulse Oximetry,PPG (PAT),Moment(Y),Moment(Z),Flow 2,Stim Gate,Millar, ,Flow Sensor Mouth,Flow Sensor Total,Tidal Volume Nose,Tidal Volume Mouth,Tidal Volume Total, ,Flow Sensor Mouth, ,Tidal Volume Nose,Flow Sensor Mouth,Tidal Volume Nose, , , ,Tidal Volume Mouth,Tidal Volume Mouth,Tidal Volume Nose,Tidal Volume Nose, 
Cmt Text,Cmt Time,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Cmt Text, ,Cmt Text,Cmt Text, , , , ,Cmt Text, ,Cmt Text, ,Cmt Time
TVTotal-Analysis1,41:59.2,14.68527603,34.6966,-0.0013,0.003125,0.0929,6.9727,0.0319,-1.6,0.1090625,-0.4688,44.285,97.7813,-0.5747,-6.015625,6.640625,-0.008916739,0.003125,14.02423,0.092949383,-0.008916739,0.08403264,0.143276304,0.000173667,0.1433,-66.5868,Analysis Start,0.092949383,Analysis Start,Analysis Start,0.143276304, , , ,Analysis Start,0.000173667,Analysis Start,0.143276304,41:57.1
EffortNewEventEnd,41:59.2,14.67827225,34.6918,-0.0019,0.0034375,-0.0312,6.9781,0.0313,-1.6003,0.1084375,-0.5859,44.2,97.7813,-0.575,-6.015625,6.6015625,-0.009751977,0.0034375,14.03992844,-0.031205967,-0.009751977,-0.040957943,0.143275231,0.000173497,0.1433,-66.5871,Analysis Start,-0.031205967,Analysis Start,Analysis Start,0.143275231, , , ,Analysis Start,0.000173497,Analysis Start,0.143275231,41:57.1
InspStart-Analysis1,42:01.1,13.77587891,33.2565,-0.0006,0.0034375,0.021,6.8237,0.0503,-1.6,0.1725,-1.4844,43.095,97.7969,-0.4972,-6.25,3.4765625,-0.005399013,0.0034375,12.62699127,0.020958699,-0.005399013,0.015559686,8.87E-06,3.35E-05,0,-283.1294,Analysis Start,0.020958699,Analysis Start,Analysis Start,8.87E-06, , , ,Analysis Start,3.35E-05,Analysis Start,8.87E-06,41:57.1
EffortNewEventStart,42:01.1,13.69018555,33.2723,-0.0009,0.0034375,3.4729,6.7644,0.0628,-1.5997,0.1846875,-0.7813,42.2875,97.7656,-0.4188,-8.203125,3.671875,-0.060766365,0.0034375,11.84715939,3.472941875,-0.060766365,3.412175417,0.001492779,5.28E-06,0.0015,-323.384,Analysis Start,3.472941875,Analysis Start,Analysis Start,0.001492779, , , ,Analysis Start,5.28E-06,Analysis Start,0.001492779,41:57.1
VmaxNose-Analysis1,42:01.2,12.67130852,33.6502,-0.0006,0.0034375,12.247,5.8222,0.0994,-1.6,0.174375,-1.0547,35.785,97.8281,-0.2859,-6.6796875,2.8125,-0.036124531,0.0034375,5.748390198,12.24698448,-0.036124531,12.21086025,0.015866101,-9.47E-05,0.0159,-183.0341,Analysis Start,12.24698448,Analysis Start,Analysis Start,0.015866101, , , ,Analysis Start,-9.47E-05,Analysis Start,0.015866101,42:01.2
MaxNegPressure-Analysis1,42:02.5,28.05150223,30.1987,-0.0025,0.0046875,0.9378,6.8562,0.0459,-1.6,-0.281875,-1.4453,2.55,97.75,-0.7816,-7.1875,0.234375,-0.046326343,0.0046875,-28.51694679,0.9378016,-0.046326343,0.89147526,0.076112062,0.000122325,0.0761,138.1489,Analysis Start,0.9378016,Analysis Start,Analysis Start,0.076112062, , , ,Analysis Start,0.000122325,Analysis Start,0.076112062,42:01.2
EffortNewEventEnd,42:03.3,14.72339535,34.5877,-0.0022,0.0040625,1.3473,6.9518,0.0478,-1.6003,0.1275,-1.6016,43.52,97.7813,-0.7478,-8.3984375,7.421875,0.109253041,0.0040625,11.21264744,1.34726572,0.109253041,1.456518769,0.123160586,9.19E-05,0.1232,-52.2805,Analysis Start,1.34726572,Analysis Start,Analysis Start,0.123160586, , , ,Analysis Start,9.19E-05,Analysis Start,0.123160586,42:01.2
TVTotal-Analysis1,42:03.4,14.70313644,34.4774,-0.0006,0.0028125,-0.0307,7.0343,0.0475,-1.5997,0.148125,-1.4453,43.35,97.75,-0.7866,-8.28125,4.453125,0.139904454,0.0028125,11.17656136,-0.030656034,0.139904454,0.109248422,0.12343248,0.000141036,0.1234,-50.825,Analysis Start,-0.030656034,Analysis Start,Analysis Start,0.12343248, , , ,Analysis Start,0.000141036,Analysis Start,0.12343248,42:01.2
InspEnd-Analysis1,42:03.4,14.70090675,34.4667,-0.0006,0.0028125,-0.1629,7.0406,0.0266,-1.6009,0.1484375,-1.2109,43.265,97.7656,-0.7897,-7.5,4.6875,0.142621726,0.0028125,11.17125511,-0.162924945,0.142621726,-0.02030322,0.123430163,0.00014678,0.1234,-50.478,Analysis Start,-0.162924945,Analysis Start,Analysis Start,0.123430163, , , ,Analysis Start,0.00014678,Analysis Start,0.123430163,42:01.2
InspStart-Analysis1,42:06.1,13.35634804,32.461,-0.0016,0.003125,-0.0543,6.893,0.1119,-1.6,0.1009375,-1.0547,43.01,96.7969,-0.8681,-6.6796875,3.6328125,0.056785174,0.003125,11.84931278,-0.054300565,0.056785174,0.002484608,3.55E-08,0.000240542,0,-192.7898,Analysis Start,-0.054300565,Analysis Start,Analysis Start,3.55E-08, , , ,Analysis Start,0.000240542,Analysis Start,3.55E-08,42:01.2
